_id,title,main_title,year,format,barcode,category,cast,image_url,cover_source,notes
5ee109017f2fa81788c3ea91,300,300,2007,,EAN 7321902162850,FANTASY / ADVENTURE,,https://i.ebayimg.com/images/i/133104457468-0-1/s-l1600.jpg,,
5ee10d9e7f2fa81788c3eafe,2012,2012,2010,BLURAY,EAN 5050629062014,SCI-FI,,https://i.ebayimg.com/images/i/163303119702-0-1/s-l1600.jpg,,
5ee107097f2fa81788c3ea4b,2 Fast 2 Furious,2 Fast 2 Furious,,,EAN 5050582063233,SCI-FI,,https://i.ebayimg.com/images/i/324184788783-0-1/s-l1600.jpg,,
5ee109987f2fa81788c3eaa6,2001: A Space Odyssey,2001: A Space Odyssey,,BLURAY,EAN 7321900798389,SCI-FI,,http://ecx.images-amazon.com/images/I/51jYA7Mv32L._SL160_.jpg,,
5ee109977f2fa81788c3eaa5,2010: The Year We Make Contact ,2010: The Year We Make Contact ,1984,BLURAY,EAN 5051892004749,SCI-FI,,https://i.ebayimg.com/00/s/NTAwWDM2OA==/z/npcAAOSwUMVaIbJ1/$_1.JPG?set_id=8800005007,,
5ee10fa77f2fa81788c3eb2c,2010: The Year We Make Contact ,2010: The Year We Make Contact ,1984,,UPC 027616704627,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/253937161342-0-1/s-l1600.jpg,,
5edfc9577f2faa1018068911,24 - Redemption,24 - Redemption,,,EAN 5039036038829,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/324189082585-0-1/s-l1600.jpg,,
5edfc95e7f2faa1018068912,24 Season 2,24 Season 2,,,EAN 5039036013031,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/373061599086-0-1/s-l1600.jpg,,
5edfc9657f2faa1018068913,24 Season 3,24 Season 3,,,EAN 5039036017329,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/324184927143-0-1/s-l1600.jpg,,
5edfc9787f2faa1018068914,24 Season 4,24 Season 4,,,EAN 5039036020336,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/373070957869-0-1/s-l1600.jpg,,
5edfc9827f2faa1018068915,24 Season 5,24 Season 5,,,EAN 5039036026130,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/383570964215-0-1/s-l1600.jpg,,
5edfc9887f2faa1018068916,24 Season 6,24 Season 6,,,EAN 5039036033534,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/383542038940-0-1/s-l1600.jpg,,
5edfc98d7f2faa1018068917,24 Season 7,24 Season 7,,,EAN 5039036041072,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/114240411417-0-1/s-l1600.jpg,,
5edfc9937f2faa1018068918,24 The Final Season,24 The Final Season,,,EAN 5039036043779,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/392321222138-0-1/s-l1600.jpg,,
